name,cmc,price,color
Skalla Wolf,5,0.98,#087500
Skarrg Goliath,8,0.15,#087500
Skinshifter,2,0.49,#087500
Skullmulcher,5,0.24,#087500
Skylasher,2,0.26,#087500
Skyshroud Behemoth,7,0.3,#087500
Skyshroud Poacher,4,21.74,#087500
Skyshroud War Beast,2,0.41,#087500
Slashing Tiger,4,31.0,#087500
Slippery Bogbonder,4,0.6,#087500
Snowblind,4,2.37,#087500
Somberwald Sage,3,2.95,#087500
Song of the Dryads,3,12.95,#087500
Soul of the Harvest,6,1.36,#087500
Soul of Zendikar,6,0.26,#087500
Soul's Majesty,5,3.55,#087500
Soul Swallower,4,0.14,#087500
Spawning Grounds,8,0.15,#087500
Spawnwrithe,3,0.45,#087500
Spearbreaker Behemoth,7,3.29,#087500
Spectral Force,5,0.26,#087500
Spellbane Centaur,3,0.28,#087500
Spike Breeder,4,0.29,#087500
Spike Tiller,5,0.21,#087500
Spike Weaver,4,7.5,#087500
Spirit of the Hunt,3,0.41,#087500
Splendid Reclamation,4,5.45,#087500
Splinterfright,3,0.19,#087500
Splintering Wind,4,1.92,#087500
Splitting Slime,5,0.3,#087500
Spontaneous Generation,4,1.12,#087500
Sporeweb Weaver,3,0.21,#087500
Sporogenesis,4,1.86,#087500
Sprouting Phytohydra,5,3.41,#087500
Squall Line,2,1.69,#087500
Squirrel Farm,3,0.38,#087500
Squirrel Mob,3,10.51,#087500
Squirrel Wrangler,4,1.93,#087500
Stag Beetle,5,0.58,#087500
Stampede,3,0.29,#087500
Steelbane Hydra,2,6.79,#087500
Steel Leaf Champion,3,1.44,#087500
Steely Resolve,2,11.47,#087500
Stonehoof Chieftain,8,17.65,#087500
Stone-Tongue Basilisk,7,0.24,#087500
Stonewood Invocation,4,1.14,#087500
Strength of the Tajuru,2,0.1,#087500
Stumpsquall Hydra,3,0.19,#087500
Summer Bloom,2,4.37,#087500
Summoner's Pact,0,4.26,#087500
Summoning Trap,6,0.29,#087500
Sunbringer's Touch,4,0.13,#087500
Surgeon General Commander,4,1.2,#d78f42
Surrak- the Hunt Caller,4,0.69,#087500
Swarm Shambler,1,0.15,#087500
Sweet-Gum Recluse,6,0.19,#087500
Sylvan Advocate,2,0.13,#087500
Sylvan Awakening,3,0.88,#087500
Sylvan Basilisk,5,1.64,#087500
Sylvan Caryatid,2,5.19,#087500
Sylvan Library,2,46.6,#087500
Sylvan Offering,1,2.46,#087500
Sylvan Primordial,7,0.36,#087500
Sylvan Safekeeper,1,12.42,#087500
Sylvan Tutor,1,78.67,#087500
Sylvan Yeti,4,0.63,#087500
Symbiotic Deployment,3,0.28,#087500
Symbiotic Wurm,8,0.46,#087500
Tajuru Paragon,2,0.19,#087500
Tajuru Preserver,2,2.85,#087500
Talara's Battalion,2,0.14,#087500
Taoist Mystic,3,25.56,#087500
Tarmogoyf,2,28.7,#087500
Taunting Challenge,3,25.29,#087500
Tempting Wurm,2,1.14,#087500
Tempt with Discovery,4,1.29,#087500
Temur War Shaman,6,0.21,#087500
Tendershoot Dryad,5,7.06,#087500
Terastodon,8,0.32,#087500
Terra Stomper,6,0.27,#087500
Terravore,3,1.81,#087500
Territorial Allosaurus,4,0.39,#087500
The First Iroan Games,3,0.2,#087500
The Great Aurora,9,0.89,#087500
The Great Henge,9,47.81,#087500
Thelonite Hermit,4,0.12,#087500
Thelonite Monk,4,2.44,#087500
Thelon of Havenwood,2,0.16,#d78f42
Thelon's Curse,2,3.37,#d78f42
The Mending of Dominaria,5,0.21,#087500
Thicket Elemental,5,0.29,#087500
Thorn Elemental,7,0.29,#087500
Thorn Lieutenant,2,0.32,#087500
Thornling,5,2.51,#087500
Thorn Mammoth,7,0.31,#087500
Thornscape Master,4,0.24,#d78f42
Thragtusk,5,0.4,#087500
Thriss- Nantuko Primus,7,0.35,#087500
Thrun- the Last Troll,4,2.59,#087500
Thunderfoot Baloth,6,3.98,#087500
Thundering Wurm,3,0.92,#087500
Timbermare,4,0.39,#087500
Timber Protector,5,13.24,#087500
Timber Wolves,1,0.33,#087500
Timmy- Power Gamer,4,0.25,#087500
Tireless Tracker,3,6.17,#087500
Titania- Protector of Argoth,5,24.29,#087500
Tooth and Nail,7,25.27,#087500
Tornado Elemental,7,0.4,#087500
Toski- Bearer of Secrets,4,5.14,#087500
Towering Titan,6,5.63,#087500
Tracker,3,11.41,#087500
Trailblazer,4,1.2,#087500
Trail of Mystery,2,0.1,#087500
Tranquil Grove,2,1.87,#087500
Traverse the Outlands,5,14.87,#087500
Traverse the Ulvenwald,1,1.27,#087500
Tree of Redemption,4,3.36,#087500
Treeshaker Chimera,7,0.29,#087500
Treetop Defense,2,0.56,#087500
Tribal Forcemage,2,0.42,#087500
Troll Ascetic,3,0.48,#087500
Turntimber Ranger,5,0.97,#087500
Turntimber Sower,3,0.64,#087500
Turntimber Symbiosis // Turntimber- Serpentine Wood,7,5.76,#087500
Typhoon,3,27.13,#087500
Tyvar Kell,4,10.69,#d78f42
Uktabi Kong,8,0.94,#087500
Uktabi Wildcats,5,0.33,#087500
Ulvenwald Hydra,6,4.8,#087500
Ulvenwald Observer,6,0.22,#087500
Ulvenwald Tracker,1,2.42,#087500
Unbound Flourishing,3,7.61,#087500
Uncage the Menagerie,2,1.16,#087500
Undergrowth Champion,3,3.7,#087500
Unstoppable Ash,4,1.56,#087500
Unyaro Bees,3,0.39,#087500
Upwelling,4,1.8,#087500
Ursapine,5,0.32,#087500
Utopia Tree,2,1.88,#087500
Vastwood Hydra,2,0.36,#087500
Vengevine,4,7.12,#087500
Verdant Confluence,6,2.47,#087500
Verdant Crescendo,4,0.25,#087500
Verdant Embrace,5,1.56,#087500
Verdant Force,8,0.24,#087500
Verdant Succession,5,0.36,#087500
Verdant Sun's Avatar,7,0.19,#087500
Verdant Touch,2,0.31,#087500
Verdeloth the Ancient,6,2.43,#087500
Verduran Enchantress,3,3.75,#087500
Verdurous Gearhulk,5,0.73,#087500
Vernal Bloom,4,4.93,#087500
Vernal Equinox,4,1.9,#087500
Vexing Beetle,5,0.2,#087500
Vigor,6,9.42,#087500
Vine Dryad,4,0.43,#087500
Vinelasher Kudzu,2,0.27,#087500
Viridian Zealot,2,0.44,#087500
Vitalizing Wind,9,0.49,#087500
Vivid Revival,5,0.14,#087500
Vivien- Arkbow Ranger,4,3.19,#087500
Vivien- Champion of the Wilds,3,1.84,#087500
Vivien- Monsters' Advocate,5,8.57,#087500
Vivien Reid,5,10.87,#087500
Vivien's Arkbow,2,0.37,#087500
Vivien's Invocation,7,0.14,#087500
Vizier of the Menagerie,4,5.76,#087500
Voice of the Woods,5,0.2,#087500
Volrath's Gardens,2,0.31,#087500
Voracious Hydra,2,3.07,#087500
Vorapede,5,0.41,#087500
Vorinclex- Monstrous Raider,6,40.64,#087500
Vorinclex- Voice of Hunger,8,38.01,#087500
Waiting in the Weeds,3,0.54,#087500
Waker of the Wilds,4,0.09,#087500
Wakeroot Elemental,6,0.09,#087500
Warden of the First Tree,1,0.46,#d78f42
Wave of Vitriol,7,0.73,#087500
Wayward Swordtooth,3,14.51,#087500
Weatherseed Treefolk,5,6.14,#087500
Web,1,0.25,#087500
Weird Harvest,2,1.27,#087500
Whiptongue Hydra,6,8.04,#087500
Whirlwind,4,0.42,#087500
Whisperwood Elemental,5,0.82,#087500
Wicked Wolf,4,0.23,#087500
Wild Beastmaster,3,0.18,#087500
Wildborn Preserver,2,0.24,#087500
Wildcall,2,0.11,#087500
Wild Defiance,3,0.65,#087500
Wildest Dreams,1,0.42,#087500
Wild Pair,6,1.68,#087500
Willow Priestess,4,11.45,#087500
Winter Blast,1,24.89,#087500
Witchstalker,3,0.66,#087500
Witherscale Wurm,6,0.43,#087500
Wolfbitten Captive // Krallenhorde Killer,1,0.7,#087500
Wolfbriar Elemental,4,0.46,#087500
Wolfcaller's Howl,4,0.71,#087500
Wolfir Silverheart,5,0.67,#087500
Wolverine Riders,6,0.55,#087500
Wood Elves,3,9.85,#087500
Woodfall Primus,8,3.68,#087500
Woodland Bellower,6,3.91,#087500
Woodland Wanderer,4,0.14,#087500
Words of Wilding,3,2.73,#087500
Worldly Tutor,1,21.69,#087500
World Shaper,4,4.85,#087500
Worldspine Wurm,11,9.54,#087500
Wormwood Treefolk,5,8.87,#d78f42
Wren's Run Packmaster,4,0.63,#087500
Wurmcalling,1,1.08,#087500
